period,ratio
2025-02-13,13.7478
2025-02-14,11.42521
2025-02-15,12.29325
2025-02-16,11.16715
2025-02-17,12.89149
2025-02-18,12.45747
2025-02-19,11.98826
2025-02-20,12.6217
2025-02-21,10.12316
2025-02-22,13.23167
2025-02-23,14.14662
2025-02-24,15.82404
2025-02-25,13.16129
2025-02-26,13.0909
2025-02-27,12.71554
2025-02-28,10.62756
2025-03-01,9.25513
2025-03-02,10.49853
2025-03-03,11.33137
2025-03-04,12.51612
2025-03-05,10.02932
2025-03-06,10.97947
2025-03-07,9.41935
2025-03-08,8.69208
2025-03-09,9.17302
2025-03-10,10.19354
2025-03-11,7.44868
2025-03-12,6.8387
2025-03-13,5.46627
2025-03-14,4.58651
2025-03-15,4.66862
2025-03-16,4.68035
2025-03-17,5.19648
2025-03-18,6.20527
2025-03-19,4.93841
2025-03-20,4.59824
2025-03-21,4.08211
2025-03-22,3.71847
2025-03-23,4.48093
2025-03-24,4.15249
2025-03-25,4.44574
2025-03-26,4.69208
2025-03-27,4.3519
2025-03-28,3.43695
2025-03-29,4.04692
2025-03-30,4.55131
2025-03-31,4.19941
2025-04-01,4.95014
2025-04-02,4.77419
2025-04-03,4.53958
2025-04-04,3.3431
2025-04-05,3.80058
2025-04-06,3.94134
2025-04-07,6.00586
2025-04-08,5.13782
2025-04-09,5.52492
2025-04-10,4.38709
2025-04-11,3.94134
2025-04-12,3.06158
2025-04-13,5.13782
2025-04-14,5.11436
2025-04-15,4.44574
2025-04-16,4.04692
2025-04-17,3.78885
2025-04-18,2.9912
2025-04-19,2.80351
2025-04-20,2.6041
2025-04-21,3.28445
2025-04-22,3.48387
2025-04-23,2.74486
2025-04-24,3.1085
2025-04-25,2.40469
2025-04-26,2.217
2025-04-27,2.20527
2025-04-28,2.67448
2025-04-29,2.4868
2025-04-30,2.62756
2025-05-01,2.32258
2025-05-02,2.27565
2025-05-03,1.5953
2025-05-04,2.04105
2025-05-05,1.73607
2025-05-06,2.82697
2025-05-07,3.26099
2025-05-08,2.80351
2025-05-09,2.38123
2025-05-10,1.65395
2025-05-11,2.26392
2025-05-12,2.217
2025-05-13,2.61583
2025-05-14,1.97067
2025-05-15,2.42815
2025-05-16,1.93548
2025-05-17,1.48973
2025-05-18,1.80645
2025-05-19,2.0997
2025-05-20,2.32258
2025-05-21,2.04105
2025-05-22,2.07624
2025-05-23,1.46627
2025-05-24,1.30205
2025-05-25,1.38416
2025-05-26,2.06451
2025-05-27,2.3695
2025-05-28,1.95894
2025-05-29,2.217
2025-05-30,1.63049
2025-05-31,1.72434
2025-06-01,1.34897
2025-06-02,1.8651
2025-06-03,1.54838
2025-06-04,2.00586
2025-06-05,1.84164
2025-06-06,1.68914
2025-06-07,1.60703
2025-06-08,1.72434
2025-06-09,2.24046
2025-06-10,1.65395
2025-06-11,2.25219
2025-06-12,2.02932
2025-06-13,1.93548
2025-06-14,1.26686
2025-06-15,1.73607
2025-06-16,2.01759
2025-06-17,2.01759
2025-06-18,2.06451
2025-06-19,2.38123
2025-06-20,1.87683
2025-06-21,1.56011
2025-06-22,1.46627
2025-06-23,1.478
2025-06-24,2.24046
2025-06-25,2.27565
2025-06-26,1.75953
2025-06-27,1.45454
2025-06-28,1.40762
2025-06-29,1.31378
2025-06-30,1.97067
2025-07-01,1.99413
2025-07-02,1.93548
2025-07-03,2.41642
2025-07-04,2.05278
2025-07-05,1.50146
2025-07-06,1.85337
2025-07-07,2.51026
2025-07-08,2.02932
2025-07-09,2.52199
2025-07-10,2.66275
2025-07-11,1.94721
2025-07-12,1.66568
2025-07-13,1.61876
2025-07-14,2.40469
2025-07-15,2.25219
2025-07-16,2.35777
2025-07-17,2.11143
2025-07-18,2.00586
2025-07-19,1.68914
2025-07-20,1.39589
2025-07-21,2.54545
2025-07-22,2.43988
2025-07-23,1.88856
2025-07-24,2.07624
2025-07-25,1.66568
2025-07-26,1.50146
2025-07-27,1.97067
2025-07-28,1.66568
2025-07-29,2.26392
2025-07-30,2.79178
2025-07-31,2.70967
2025-08-01,2.08797
2025-08-02,1.97067
2025-08-03,1.478
2025-08-04,2.85043
2025-08-05,2.55718
2025-08-06,2.9912
2025-08-07,2.46334
